,feature,mean clr,std clr
39,Butyrivibrio,-2.1206622947841414,0.6681336738075563
40,Selenomonas,-2.103851154784143,2.918700613520021
41,Williamwhitmania,-2.099003090584142,3.192635031436697
42,Anaerofilum,-2.0643032747841414,3.0192968162202622
43,Syntrophococcus,-2.0541510177841418,3.5861075543924166
44,Alterileibacterium,-2.045535536784142,2.6519348573038726
45,Peptacetobacter,-2.0237736467841416,2.975964125825901
46,Limosilactobacillus,-2.023653956984141,3.110265758171271
47,Papillibacter,-1.9298855536441417,3.4299976085542236
48,Murimonas,-1.9102272667841418,3.5928803151121516
49,Eubacterium_nodatum_group,-1.8624875469841422,3.429083955145988
50,Paracoccus,-1.8459783297841417,3.0510498637129824
51,Moryella,-1.844069134784142,3.7046205080562906
52,Anaerotaenia,-1.794700097784142,3.5109754181248807
53,Oribacterium,-1.7785615517841409,0.9175254497915976
54,Prevotellaceae_NK3B31_group,-1.7674270947841415,0.5106493021989464
55,Enterobacter,-1.7373574947841413,0.5197423519184821
56,GCA-900066575,-1.7246517947841418,3.46186248081701
57,Slackia,-1.7222117127841414,3.474000407370142
58,Kosakonia,-1.6887716747841413,0.9074574696428809
59,Peptococcus,-1.673367187484142,3.8788083963031443
60,Mobilisporobacter,-1.6731471947841419,3.1216623224027678
61,Clostridium_IV,-1.6169400447841418,0.5579394188085892
62,Clostridia_vadinBB60_group,-1.6130167647841416,0.80747404605321
63,Ruminiclostridium,-1.6047425515841414,3.2945694370971124
64,Robinsoniella,-1.5784937057841417,3.5178016588923127
65,Frisingicoccus,-1.563337531784141,3.3023565725412105
66,Howardella,-1.5530704887841411,3.7680658176301316
67,Sphingobium,-1.4502268887841419,3.3042386682877636
68,Schaedlerella,-1.4098415887841418,1.1255126392997858
69,Eggerthella,-1.4086236487841413,3.78053772991608
70,Flintibacter,-1.4001609527841417,3.524414117959214
71,Clostridium_sensu_stricto,-1.343913374784142,0.5306028800203079
72,Mitsuokella,-1.3341036047841417,0.5138752378459297
73,Cuneatibacter,-1.3174801047841416,0.5764936568767443
74,Lactococcus,-1.0264898279941415,0.8399701972620394
75,Ruminococcaceae,-1.013174278784142,0.9476579797389195
76,UBA1819,-1.0086705977841415,0.7526010437671602
77,Lachnotalea,-0.9249897327841416,1.0827143604409664
78,Lachnospiraceae_UCG-010,-0.9166687619841416,0.994532629244297
79,Franconibacter,-0.9085696417841418,1.031177206381103
80,UCG-010,-0.8774470047841418,0.3743494438063824
81,Enterocloster,-0.8064694547841418,0.3341818125045866
82,Dysosmobacter,-0.7898819347841419,0.4782249632800234
83,Anaerotignum,-0.6913639905841416,0.8793257046287467
84,Faecalibacillus,-0.6717266764841419,0.6612589510616886
85,Eubacterium_xylanophilum_group,-0.6120801767841417,0.5385917016202989
86,Clostridia_UCG-014,-0.5343952847841416,0.2233099255217732
87,Ruminococcus_gauvreauii_group,-0.5342740447841419,0.37853182840353844
88,UCG-005,-0.5148547947841418,0.2242689857543662
89,Ethanoligenens,-0.4543033712141418,1.0767747103622818
90,Colidextribacter,-0.4117792917841417,0.5566306174422168
91,NK4A214_group,-0.3967368147841418,0.2543251088592501
92,Beduinibacterium,-0.3948357287841419,0.94806321655305
93,Fournierella,-0.39326122728414176,0.9556467821933275
94,Metaprevotella,-0.2699500827841417,0.37467893116323703
95,Christensenellaceae_R-7_group,-0.2380242147841418,0.20201214640986198
96,Incertae_Sedis,-0.19782318478414188,0.258555244616242
97,Negativibacillus,-0.19763169578414183,0.77217305351586
98,Desulfovibrio,-0.17152607778414175,0.41451352715316
99,Holdemanella,-0.1329876037841418,0.27992663226986814
100,Ruminococcus,-0.1279591347841418,0.1516762582915217
101,Campylobacter,-0.12213816478414179,0.24538239834335418
102,Eubacterium_eligens_group,-0.09488382478414178,0.2127588106560117
103,Bacillus,-0.04601947718414179,0.5135049825824444
104,Family_XIII_AD3011_group,-0.03217276678414178,0.9448670873931896
105,Mobiluncus,-0.03212265008414181,0.3344222058047175
106,Flavonifractor,-0.013075701784141787,0.3422131829933131
107,Pseudescherichia,0.015995107315858195,0.3632921409086402
108,Lachnospiraceae_UCG-001,0.02491991131585821,0.449685806717498
109,Veillonella,0.03391322281585821,0.3336089289443349
110,Murdochiella,0.0686890665158582,0.2886910060507849
111,Lacrimispora,0.07715425177585822,0.2785769081475758
112,UCG-002,0.0879563852158582,0.1669019182427296
113,Coprococcus,0.1204893752158582,0.1365107224761232
114,Eubacterium_coprostanoligenes_group,0.1289243032158582,0.188025540461618
115,Eubacterium_siraeum_group,0.1330939302158582,0.29419068340142507
116,Subdoligranulum,0.15247880521585822,0.12657587231285813
117,Anaerobutyricum,0.17237888281585823,0.45900080037970015
118,Neglecta,0.17388968981585823,0.46748032851699645
119,Eubacterium_ruminantium_group,0.1855838238558583,0.25519078387127603
120,Lachnospiraceae_ND3007_group,0.20732820521585815,0.3076473825113849
121,Gemmiger,0.21301776908585815,0.24945303787499257
122,Citrobacter,0.2180147412158582,0.3888828535188791
123,Eubacterium_ventriosum_group,0.24141796721585826,0.3068901273481546
124,Odoribacter,0.24484065021585813,0.330832143332175
125,Peptostreptococcus,0.2487469637158583,0.3640110966100441
126,Bilophila,0.2560649378158582,0.4531616884316102
127,Eubacterium_hallii_group,0.26860590771585824,0.16041442631020478
128,Lachnobacterium,0.26910220141585833,0.38944543356768135
129,Alloprevotella,0.2901857890158583,0.28451868042647394
130,Turicibacter,0.2989837597158582,0.5571523302561365
131,Megasphaera,0.32655278941585836,0.26350505851135136
132,Lachnospiraceae_NK4A136_group,0.35662505111585824,0.18092260173308486
133,Oscillibacter,0.3600898322158584,0.277299033471705
134,Aminicella,0.3658785453158582,0.4303384038395076
135,CAG-56,0.41913407971585825,0.26507498147064956
136,Agathobacter,0.4193582082158581,0.11937217718941397
137,Coprobacter,0.43008869441585806,0.7903104415787633
138,Anaerobium,0.46087189591585803,0.7032972009057535
139,Lachnospira,0.46697412681585826,0.13008919058234839
140,Peptoniphilus,0.48653032351585823,0.17314559510215774
141,Faecalibacterium,0.4937312108458582,0.10934153838858247
142,Romboutsia,0.5063453488658582,0.20820890141939255
143,Haemophilus,0.5125160171358578,0.2530228374919396
144,Collinsella,0.519928797615858,0.22631513118871327
145,Unclassified,0.5216198157158584,0.11859086899811339
146,Ezakiella,0.5323544870158583,0.3169694483017335
147,Sutterella,0.5458637159158581,0.1785178234355284
148,Erysipelatoclostridium,0.5460782235158583,0.39074701842022513
149,Fusicatenibacter,0.5483629177158584,0.15047942234791387
150,Acetanaerobacterium,0.571990105215858,0.08416186022659677
151,Erysipelotrichaceae_UCG-003,0.5831812545158583,0.1891057292060014
152,Fenollaria,0.5972471386558583,0.25723022625849284
153,Rikenellaceae_RC9_gut_group,0.6106360637858584,0.3469258462989848
154,Clostridium_sensu_stricto_1,0.633498249715858,0.21928576008697
155,Catenibacterium,0.6423165908958585,0.2768989909069368
156,Prevotella,0.6436707243458584,0.13051747318570897
157,Paraprevotella,0.6754575749158582,0.24320853011515522
158,Anaerostipes,0.684130220015858,0.15958922944050768
159,Parabacteroides,0.7125702948158579,0.133169502410571
160,Acetivibrio,0.7169063265258586,0.45633231376834976
161,Solobacterium,0.7290042273158585,0.46857324536504963
162,Streptococcus,0.742961296715858,0.19062143123234992
163,Butyricicoccus,0.7433353149158584,0.1628989173696656
164,Actinomyces,0.7454730622158583,0.4512970625055347
165,Tannerella,0.7536788473158582,0.986808605301727
166,Roseburia,0.7567225482158584,0.11779481065952926
167,CAG-352,0.762070130815858,0.2901347908382155
168,Phascolarctobacterium,0.7690828623158579,0.1747660935797937
169,Lactobacillus,0.7709949348158582,0.2634219471636346
170,Porphyromonas,0.7743906102158582,0.20865044741546257
171,Ruminococcus_torques_group,0.7849981805158582,0.14602260339214967
172,RF39,0.8023641071158579,0.325282303151108
173,Blautia,0.8255444222158581,0.10952638787960167
174,Klebsiella,0.8451033636158582,0.3497633048189343
175,Mediterraneibacter,0.8451367396158586,0.2861515290383923
176,Cronobacter,0.8724129580158578,0.25615189608698047
177,Dialister,0.8842867702158586,0.15923535082304419
178,Finegoldia,0.8913163312158584,0.20012615553783997
179,Bacteroides,0.8926216652158584,0.1018068040936778
180,Stenotrophomonas,0.8964420742158581,1.1192352504241672
181,Intestinibacter,0.9025608072158583,0.19403762280772333
182,Phocaeicola,0.9064875612158584,0.18291961340569296
183,Anaerococcus,0.9389162142158579,0.24009415220385433
184,Anaeromassilibacillus,0.9446680273158582,0.36967655750782613
185,Monoglobus,0.968910718515858,0.2515230158425162
186,Dorea,0.9802093752158579,0.12639784372824595
187,Tindallia,1.0038903302158582,1.0927002803198076
188,Megamonas,1.0149298999158578,0.20521653802729659
189,Weissella,1.028820942015858,0.9677676014832032
190,UCG-003,1.0512751882158582,0.358989274655443
191,Clostridium_XlVa,1.0915704272658584,0.6104229978371959
192,Bifidobacterium,1.0985796082158579,0.13700910568893568
193,Lachnospiraceae_UCG-003,1.1193867902158587,0.30843567014590245
194,Akkermansia,1.1219510142158575,0.32729590508062745
195,Gastranaerophilales,1.127438006215858,0.3517744010631041
196,Mediterranea,1.1682161802158584,0.4588310498899443
197,Muribaculaceae,1.1823906352158577,0.20507454677554102
198,Barnesiella,1.1834180152158584,0.13713427488507507
199,Intestinimonas,1.2022652352158578,0.25925711470381835
200,Hungatella,1.2177716572158586,0.456166441254417
201,Fusobacterium,1.2328829072158585,0.2594400895313594
202,Ruminococcus2,1.2355364142158587,0.2951528585543677
203,Parasutterella,1.2437813252158585,0.17662783578264235
204,Anaerotruncus,1.2559436052158583,1.085033461760711
205,Escherichia-Shigella,1.2702525452158588,0.15638549489632667
206,Alistipes,1.2861281052158577,0.1291518703364923
207,Lachnospiracea_incertae_sedis,1.2997626199158583,0.27501635686045467
208,Gardnerella,1.3605649132158582,0.49164008013263516
209,UCG-009,1.3805830422158585,1.183255467026068
210,Pseudomonas,1.4125889852158584,0.35877224099042593
211,Butyricimonas,1.486373675215858,0.35524166942881497
212,Lachnoclostridium,1.4933706652158576,0.15681646335473717
213,Alkaliphilus,1.5510665022158583,1.1255160748610575
214,Acidaminococcus,1.5937786342158586,0.3538636501332216
215,Eubacterium,1.6064976352158575,0.2619242062485265
216,Terrisporobacter,1.6474745052158581,0.3344087735702973
217,Methanobrevibacter,1.7012516422158581,0.8424567716144338
218,Hespellia,1.7079222503158582,0.7084033947235755
219,Tissierella,1.715443607215858,0.9189846550356263
220,Negativicoccus,1.7234856192158594,1.1223242866756773
221,Paenibacillus,1.758917765215858,0.25643303969348585
222,Lawsonella,1.767225494215858,1.0784317473620852
223,Faecalimonas,1.7913571852158583,0.4552295199925558
224,Sellimonas,1.8165822154158593,0.7759502728531719
225,Anaerosporobacter,1.848937316215858,0.9787768399111262
226,Granulicatella,1.8577122052158572,0.34933797845601755
227,Phocea,1.8598101622158583,0.8969304228550748
228,Eubacterium_brachy_group,1.8868566762158574,0.6335317167451462
229,Varibaculum,1.8927940952158582,0.41124598173901195
230,Rhodanobacter,1.901276575215858,0.39793956139680786
231,Prevotellaceae_UCG-001,1.9270555049158589,0.36277351625748583
232,Lachnospiraceae_UCG-004,1.996279425215858,0.37125441507616197
233,Ruminococcus_gnavus_group,2.018419605215858,0.18705737286529886
234,Allisonella,2.0403333512158586,0.7606424013959008
235,Gemella,2.1107588412158576,0.46706140186611006
236,Rubellimicrobium,2.1329944452158585,0.5282469098398725
237,Tyzzerella,2.171207105215858,0.27202958710332653
238,Serratia,2.350760525215857,0.6205706798940933
239,Faecalitalea,2.3721592452158577,0.6293227812999058
240,Rhodococcus,2.4691115352158577,0.5993586070172494
241,Glutamicibacter,2.633244105215859,0.38613217981714454
242,Corynebacterium,2.6481709052158577,0.314621803736314
243,Acutalibacter,2.6566966752158585,0.44137056675950315
244,Ralstonia,2.66245280521586,0.35210764768022307
245,Bradyrhizobium,2.6970213752158583,0.48504443905523564
246,Aquabacterium,2.760639205215859,0.3605775825049949
247,Mucispirillum,2.8049495152158572,0.510850706019058
248,Burkholderia-Caballeronia-Paraburkholderia,2.8526996052158586,0.38009554650488875
249,Enterorhabdus,2.937124605215859,0.4222874572887393
250,Xanthomonas,2.979155205215857,0.4745068344040266
251,Staphylococcus,3.0497681052158576,0.34094219305184625
252,Cutibacterium,3.0533706052158593,0.41220707308820076
253,Asteroleplasma,3.092567105215859,0.39124518749676546
254,Delftia,3.274563905215859,0.3477559264824094
255,Sphingomonas,3.354184705215859,0.32520372516825113
256,Kocuria,3.533990705215859,0.36114064905451193
257,Herbaspirillum,3.597100305215857,0.36299318212972076
258,CAG-873,3.659090505215859,0.37139039919889627
259,Acinetobacter,3.668636205215858,0.32799325172286853
260,Brevundimonas,3.690977705215858,0.3049467645550798
261,Brucella,4.094049505215858,0.368990243488837
262,Streptobacillus,4.409464005215859,0.4238811613388788
263,Knoellia,5.576495505215857,0.3323258333815308
264,Mesorhizobium,6.3431461052158555,0.38379810641592604
265,Microbacterium,6.44377030521586,0.3175895587943671
266,Duganella,7.514787705215862,0.3818813042590633
267,Aeromicrobium,7.98956610521586,0.4241986234245471
