,genus_A,genus_B,rho,p
72,region,UCG-005,-0.0289827382600614,0.01
73,region,UCG-010,-0.0301078234490316,0.0
74,region,Unclassified,0.0341003133541915,0.01
75,study_site,Acetatifactor,0.0273618367360571,0.05
76,study_site,Agathobacter,0.0561360326530568,0.0
77,study_site,Akkermansia,-0.0408737336192973,0.0
78,study_site,Alistipes,-0.0804376812313038,0.0
79,study_site,Aminicella,-0.0537580436721479,0.0
80,study_site,Anaerobutyricum,-0.0222661463647179,0.03
81,study_site,Anaerococcus,-0.1064226641239552,0.0
82,study_site,Anaeromassilibacillus,0.0321798950342597,0.01
83,study_site,Anaerosporobacter,0.0285220667017859,0.01
84,study_site,Anaerostipes,0.0569606971432911,0.0
85,study_site,Asinibacterium,-0.0208949146250607,0.05
86,study_site,Bacteroides,-0.0745970530197458,0.0
87,study_site,Barnesiella,-0.1264900190350789,0.0
88,study_site,Bifidobacterium,0.1348705160174811,0.0
89,study_site,Bilophila,0.0379788000346995,0.01
90,study_site,Blautia,0.0644219112312106,0.0
91,study_site,Burkholderia,0.0670093289377444,0.0
92,study_site,Butyricicoccus,0.0592981765613342,0.0
93,study_site,Butyricimonas,-0.0340115191166976,0.01
94,study_site,Campylobacter,-0.1260812773769855,0.0
95,study_site,Clostridia_UCG-014,-0.0294554825302808,0.02
96,study_site,Clostridium_sensu_stricto,0.0431040792114372,0.01
97,study_site,Colidextribacter,-0.039744150761109,0.0
98,study_site,Collinsella,0.0807790528642711,0.0
99,study_site,Coprococcus,0.1068531815384544,0.0
100,study_site,Corynebacterium,-0.0376828992579526,0.01
101,study_site,Cronobacter,-0.1377839594271818,0.0
102,study_site,Delftia,-0.0216162969346857,0.05
103,study_site,Desemzia,0.0258369463432578,0.05
104,study_site,Dialister,-0.1358571659168384,0.0
105,study_site,Dorea,0.1078077398193884,0.0
106,study_site,Duncaniella,0.0349267736162684,0.01
107,study_site,Eisenbergiella,0.030120797503678,0.01
108,study_site,Enhydrobacter,-0.0315588186571824,0.02
109,study_site,Enterobacter,0.0273100224024444,0.01
110,study_site,Enterocloster,0.0411059513336427,0.0
111,study_site,Enterococcus,0.0224339921728461,0.02
112,study_site,Erysipelotrichaceae_UCG-003,0.0302598817764085,0.01
113,study_site,Escherichia-Shigella,0.0948487984954928,0.0
114,study_site,Eubacterium_coprostanoligenes_group,0.0373251052929711,0.01
115,study_site,Eubacterium_eligens_group,0.0894451105090459,0.0
116,study_site,Eubacterium_hallii_group,-0.0284256430419526,0.0
117,study_site,Eubacterium_ruminantium_group,0.0420189393137357,0.03
118,study_site,Eubacterium_siraeum_group,-0.0547170765717048,0.0
119,study_site,Eubacterium_ventriosum_group,0.0403414467632574,0.0
120,study_site,Ezakiella,-0.05569333816588,0.0
121,study_site,Faecalibacterium,0.199321477643546,0.0
122,study_site,Fastidiosipila,0.0243366338395348,0.04
123,study_site,Fenollaria,-0.1893787437830565,0.0
124,study_site,Finegoldia,-0.1474911195731808,0.0
125,study_site,Fournierella,0.0256168418139749,0.01
126,study_site,Fusicatenibacter,0.0907422344389773,0.0
127,study_site,Fusobacterium,-0.0438210435784199,0.0
128,study_site,Gemella,-0.0287790997510758,0.01
129,study_site,Gemmiger,0.0503501631764873,0.0
130,study_site,Haemophilus,0.0293436840791815,0.01
131,study_site,Holdemanella,0.0196743868397276,0.04
132,study_site,Incertae_Sedis,0.0318015690175596,0.03
133,study_site,Intestinibacter,-0.0390971089350823,0.0
134,study_site,Intestinimonas,-0.0383561504990062,0.0
135,study_site,Kineothrix,0.049532633489701,0.0
136,study_site,Klebsiella,0.0336988138714477,0.01
137,study_site,Lachnobacterium,0.037938353338937,0.01
138,study_site,Lachnoclostridium,0.0416363795404422,0.0
139,study_site,Lachnospira,0.1961753408322394,0.0
140,study_site,Lachnospiraceae_NK4A136_group,-0.0403819533260587,0.0
141,study_site,Lachnospiraceae_UCG-006,-0.0246794299862939,0.04
142,study_site,Lachnospiraceae_UCG-008,-0.0301439876203458,0.02
143,study_site,Lachnotalea,-0.030926097873854,0.05
144,study_site,Lacrimispora,-0.0357200332589709,0.0
145,study_site,Lactobacillus,-0.0393599606058669,0.0
146,study_site,Lawsonella,-0.035779043462865,0.0
147,study_site,Leuconostoc,0.026854212851223,0.02
148,study_site,Ligilactobacillus,0.0201540474983775,0.04
149,study_site,Megamonas,0.1142683043215017,0.0
150,study_site,Megasphaera,0.0350547565596455,0.01
151,study_site,Metaprevotella,-0.0355909213105337,0.0
152,study_site,Mobiluncus,-0.0642717055457533,0.0
153,study_site,Monoglobus,0.0303598975525356,0.02
154,study_site,Murdochiella,-0.0606711387824047,0.0
155,study_site,Muribaculaceae,-0.1049257690318284,0.0
156,study_site,Odoribacter,-0.032844242753278,0.01
157,study_site,Parabacteroides,-0.0629685751657093,0.0
158,study_site,Parasutterella,0.0460590282020751,0.0
159,study_site,Peptoniphilus,-0.1487294708485841,0.0
160,study_site,Peptostreptococcus,-0.0614816699594797,0.0
161,study_site,Phascolarctobacterium,0.1172992543046245,0.0
162,study_site,Phocaeicola,-0.10562199713081,0.0
163,study_site,Porphyromonas,-0.1847643103082395,0.0
164,study_site,Prevotella,-0.087026384575055,0.0
165,study_site,Prevotellaceae_NK3B31_group,-0.0286610824526898,0.05
166,study_site,Prevotellamassilia,0.0402850452589044,0.01
167,study_site,Roseburia,0.1672404705303268,0.0
168,study_site,Ruminococcus,-0.0532345315241718,0.0
169,study_site,Ruminococcus_gnavus_group,0.02902111613069,0.01
170,study_site,Ruminococcus_torques_group,0.0713781365433162,0.0
171,study_site,Schaedlerella,0.0285346492949472,0.05
172,study_site,Streptococcus,-0.0547438179976234,0.0
173,study_site,Subdoligranulum,0.0690729212186577,0.0
174,study_site,Sutterella,-0.0350618366576319,0.01
175,study_site,Terrisporobacter,-0.0286677679641154,0.02
176,study_site,Tissierella,-0.0188402829782761,0.05
177,study_site,Tyzzerella,0.0455439150167157,0.0
178,study_site,UCG-002,0.0414211945065227,0.01
179,study_site,UCG-005,-0.0322187166799351,0.0
180,study_site,Varibaculum,-0.0373044005671878,0.0
181,Acetatifactor,Acetivibrio,0.025350284587744,0.03
182,Acetatifactor,Agathobacter,-0.0380726934544584,0.0
183,Acetatifactor,Alistipes,-0.023897157408122,0.04
184,Acetatifactor,Anaerococcus,-0.0225626790465534,0.03
185,Acetatifactor,Anaerostipes,-0.0258089562880933,0.04
186,Acetatifactor,Bacteroides,-0.062399217701199,0.0
187,Acetatifactor,Bacteroides_pectinophilus_group,0.0278949717001576,0.02
188,Acetatifactor,Blautia,-0.0275525725165389,0.04
189,Acetatifactor,Bradyrhizobium,-0.0265537041285501,0.04
190,Acetatifactor,Burkholderia,0.0945558640868856,0.0
191,Acetatifactor,Clostridium_XlVb,0.0218434775763348,0.04
192,Acetatifactor,Coprococcus,-0.0448464627865583,0.0
193,Acetatifactor,Dorea,-0.0260691604518295,0.04
194,Acetatifactor,Duncaniella,0.0730929401244352,0.0
195,Acetatifactor,Eisenbergiella,0.0406059706789776,0.0
196,Acetatifactor,Enterocloster,0.0314848806395154,0.03
197,Acetatifactor,Faecalibacterium,-0.0696383136481981,0.0
198,Acetatifactor,Faecalitalea,-0.0350440374464707,0.0
199,Acetatifactor,Finegoldia,-0.0212473984139595,0.03
200,Acetatifactor,Granulicatella,0.0244038077658174,0.04
201,Acetatifactor,Herbinix,0.033077037790104,0.03
202,Acetatifactor,Kineothrix,0.0491182015634371,0.0
203,Acetatifactor,Lachnospiraceae_NK4A136_group,-0.032096698237957,0.01
204,Acetatifactor,Lacrimispora,0.0558699415116524,0.0
205,Acetatifactor,Lactobacillus,0.0275568323610516,0.03
206,Acetatifactor,Ligilactobacillus,0.0178079745702873,0.04
207,Acetatifactor,Microbacterium,0.0244770586613904,0.04
208,Acetatifactor,Millionella,0.0368390767918813,0.03
209,Acetatifactor,Monoglobus,-0.0257051056382898,0.01
210,Acetatifactor,Oxobacter,-0.0271321120805371,0.02
211,Acetatifactor,Parabacteroides,-0.0278572754252144,0.04
212,Acetatifactor,Paramuribaculum,0.0255306621950468,0.05
213,Acetatifactor,Phascolarctobacterium,-0.0460450634641499,0.0
214,Acetatifactor,Prevotellaceae_UCG-001,0.0268175488335617,0.02
215,Acetatifactor,Prevotellamassilia,0.0243873519175068,0.01
216,Acetatifactor,Pyramidobacter,0.0247891999361432,0.03
217,Acetatifactor,Ruminococcus,-0.0432237603593533,0.0
218,Acetatifactor,Schaedlerella,0.0354439686017604,0.0
219,Acetatifactor,Streptococcus,-0.0322970404692489,0.02
220,Acetatifactor,Streptomyces,-0.017768674016318,0.05
221,Acetatifactor,Subdoligranulum,-0.0301532594524762,0.02
222,Acetatifactor,Sutterella,-0.0265192565132925,0.02
223,Acetatifactor,UCG-004,-0.0254439080855148,0.05
224,Acetatifactor,Xanthomonas,-0.0264834911976911,0.05
225,Acetivibrio,Anaerobium,0.0361449099620098,0.02
226,Acetivibrio,Anaeromassilibacillus,-0.0255776828501865,0.02
227,Acetivibrio,Anaerosporobacter,-0.0283956775489092,0.01
228,Acetivibrio,Barnesiella,0.0287234776972715,0.03
229,Acetivibrio,Bifidobacterium,-0.0264466716098107,0.02
230,Acetivibrio,Burkholderia,0.0380258450401893,0.0
231,Acetivibrio,Christensenellaceae_R-7_group,-0.0262178463969186,0.04
232,Acetivibrio,Delftia,0.0284731137810663,0.02
233,Acetivibrio,Enterocloster,0.026229189884904,0.03
234,Acetivibrio,Erysipelotrichaceae_UCG-003,-0.0266731744986045,0.02
235,Acetivibrio,Eubacterium,0.0327975278062372,0.03
236,Acetivibrio,Eubacterium_eligens_group,-0.0254250713949383,0.04
237,Acetivibrio,Eubacterium_hallii_group,-0.0272445456591058,0.04
238,Acetivibrio,Faecalibacterium,-0.0330908278221035,0.01
239,Acetivibrio,Faecalitalea,-0.0284017934752804,0.04
240,Acetivibrio,Family_XIII_AD3011_group,-0.0304487205895184,0.02
241,Acetivibrio,Fastidiosipila,0.025080239269088,0.03
242,Acetivibrio,Fenollaria,0.022288694299498,0.05
243,Acetivibrio,Fusicatenibacter,-0.0248567582743986,0.03
244,Acetivibrio,Gemmiger,0.0429413464388797,0.01
245,Acetivibrio,Hungatella,0.0294767811154869,0.01
246,Acetivibrio,Kineothrix,0.0208580773034976,0.05
247,Acetivibrio,Lachnobacterium,0.029905794190018,0.02
248,Acetivibrio,Lachnospiraceae_UCG-008,0.0301866335266569,0.02
249,Acetivibrio,Lachnospiraceae_UCG-010,-0.0286938455789182,0.01
250,Acetivibrio,Ligilactobacillus,0.035065100383216,0.0
251,Acetivibrio,Lysinibacillus,0.0272848004751715,0.03
252,Acetivibrio,Mediterraneibacter,0.0230166132895523,0.05
253,Acetivibrio,Megasphaera,-0.024086338666498,0.05
254,Acetivibrio,Millionella,0.0396890351146634,0.01
255,Acetivibrio,Monoglobus,-0.0295277762029724,0.03
256,Acetivibrio,Murdochiella,-0.0271349493697367,0.04
257,Acetivibrio,Phocaeicola,0.0645330980469026,0.0
258,Acetivibrio,Ruminococcus2,0.0209325030713434,0.05
259,Acetivibrio,Subdoligranulum,-0.0444172858670653,0.0
260,Acetivibrio,Sutterella,-0.0222445880590404,0.03
261,Acetivibrio,UCG-002,-0.0424863680348679,0.01
262,Acetivibrio,UCG-005,-0.0291957987998639,0.04
263,Acetivibrio,UCG-010,-0.0226519624282773,0.04
264,Acetivibrio,Unclassified,-0.043473571904777,0.0
265,Acidaminococcus,Agathobaculum,0.0265855810662101,0.04
266,Acidaminococcus,Alistipes,-0.0381154615703113,0.0
267,Acidaminococcus,Anaeroglobus,0.0200582004410384,0.05
268,Acidaminococcus,Candidatus_Saccharimonas,-0.0239302756091927,0.05
269,Acidaminococcus,Chloroplast,0.0213184587670083,0.05
270,Acidaminococcus,Clostridia_vadinBB60_group,0.032710445726628,0.0
271,Acidaminococcus,Clostridium_XlVa,-0.025472247392104,0.05
272,Acidaminococcus,Clostridium_XlVb,-0.0278707087518154,0.02
273,Acidaminococcus,Collinsella,0.0208393981434104,0.05
274,Acidaminococcus,Coprococcus,-0.0234914812024566,0.02
275,Acidaminococcus,Cuneatibacter,-0.0356523231964517,0.02
276,Acidaminococcus,Desemzia,0.0217065931316127,0.03
277,Acidaminococcus,Duganella,0.0296256896228714,0.02
278,Acidaminococcus,Ethanoligenens,0.0280095555884239,0.03
279,Acidaminococcus,Eubacterium_hallii_group,-0.0335059174974818,0.0
280,Acidaminococcus,Eubacterium_ruminantium_group,0.0250517850381234,0.03
281,Acidaminococcus,Eubacterium_siraeum_group,-0.0228839904725817,0.03
282,Acidaminococcus,Faecalibacterium,-0.0384860843358182,0.0
283,Acidaminococcus,Family_XIII_AD3011_group,-0.0339171160752415,0.01
284,Acidaminococcus,Flavonifractor,-0.0259985943148782,0.05
285,Acidaminococcus,Franconibacter,0.0300958757122105,0.04
286,Acidaminococcus,Fusicatenibacter,-0.0305817825578155,0.01
287,Acidaminococcus,Herbinix,0.0289301647240749,0.02
288,Acidaminococcus,Lachnospira,0.0210581807804475,0.05
289,Acidaminococcus,Mesomycoplasma,0.0223822659249217,0.05
290,Acidaminococcus,Mesorhizobium,-0.02076595770872,0.04
291,Acidaminococcus,Methanobrevibacter,0.0332971515489147,0.03
292,Acidaminococcus,Nubsella,-0.028113077843171,0.01
293,Acidaminococcus,Oxobacter,0.0292898485392952,0.01
294,Acidaminococcus,Paramuribaculum,0.0260108422944963,0.05
295,Acidaminococcus,Porphyromonas,0.0239954774320447,0.05
296,Acidaminococcus,Prevotella,0.0340643532182005,0.02
297,Acidaminococcus,Psychroflexus,-0.0256178156672,0.04
298,Acidaminococcus,Ruminococcus_gnavus_group,0.0269797817114189,0.05
299,Acidaminococcus,Ruthenibacterium,0.0332849955203016,0.0
300,Acidaminococcus,Weissella,-0.0220016330157991,0.03
301,Acinetobacter,Bilophila,-0.0255183484380083,0.05
302,Acinetobacter,Burkholderia,0.0352124331080071,0.0
303,Acinetobacter,CAG-56,-0.0313013353994562,0.02
304,Acinetobacter,CAG-873,0.0264794955596404,0.02
305,Acinetobacter,Catenibacterium,-0.0247213126189078,0.05
306,Acinetobacter,Chloroplast,-0.0259734157309916,0.02
307,Acinetobacter,Cuneatibacter,0.0227126832370168,0.03
308,Acinetobacter,Dorea,-0.0384783097208895,0.0
309,Acinetobacter,Enhydrobacter,0.042340338066921,0.0
310,Acinetobacter,Eubacterium_ruminantium_group,0.0220738537963129,0.05
311,Acinetobacter,Faecalibacillus,0.0312937988859356,0.01
312,Acinetobacter,Herbinix,0.0444377247918798,0.0
313,Acinetobacter,Kineothrix,0.0312900039399671,0.02
314,Acinetobacter,Kosakonia,-0.0313435496180874,0.01
315,Acinetobacter,Lachnospiraceae_UCG-003,0.0217486562998555,0.04
316,Acinetobacter,Lachnotalea,-0.0252760140848225,0.03
317,Acinetobacter,Microbacterium,-0.0367589030208374,0.01
318,Acinetobacter,Millionella,0.0258549139277586,0.04
319,Acinetobacter,Monoglobus,-0.0252330206991699,0.04
320,Acinetobacter,Phocea,-0.0228452758157851,0.02
321,Acinetobacter,Pseudescherichia,0.0242907053378714,0.05
322,Acinetobacter,Roseburia,-0.0239919689465115,0.05
323,Acinetobacter,Rubellimicrobium,-0.0269423155410166,0.03
324,Acinetobacter,Ruminococcus_torques_group,-0.0236203916611311,0.04
325,Acinetobacter,Turicibacter,0.0354295845480399,0.0
326,Acinetobacter,UCG-010,-0.040937056204061,0.0
327,Acinetobacter,Veillonella,0.0388228786268459,0.02
328,Acinetobacter,Xanthomonas,0.0370027156532395,0.0
329,Acinetobacter,Unclassified,-0.0284976443899431,0.03
330,Actinomyces,Agathobaculum,-0.0314744585659306,0.0
331,Actinomyces,Aquabacterium,0.0294275507488022,0.05
332,Actinomyces,Asteroleplasma,-0.036710612006669,0.01
333,Actinomyces,Bacillus,-0.0224462182724066,0.04
334,Actinomyces,Butyricimonas,-0.0219593949277553,0.04
335,Actinomyces,Cellulosilyticum,-0.0445710865635654,0.0
336,Actinomyces,Chryseobacterium,0.0246151139873833,0.05
337,Actinomyces,Cutibacterium,0.0236480593615325,0.02
338,Actinomyces,Dorea,0.0254692226416111,0.05
339,Actinomyces,Dysosmobacter,-0.0264336187951257,0.03
340,Actinomyces,Enhydrobacter,0.0349183784025088,0.01
341,Actinomyces,Erysipelatoclostridium,0.0289925329583915,0.02
342,Actinomyces,Eubacterium_siraeum_group,-0.0295072262614211,0.01
343,Actinomyces,Eubacterium_xylanophilum_group,0.0281817549020023,0.04
344,Actinomyces,Faecalitalea,0.0300776704272746,0.01
345,Actinomyces,Helicobacter,-0.0268196629166257,0.02
346,Actinomyces,Incertae_Sedis,0.0241263326013987,0.04
347,Actinomyces,Mucispirillum,0.0297154544027538,0.05
348,Actinomyces,Oribacterium,-0.033045206485438,0.0
349,Actinomyces,Treponema,-0.0320051365941053,0.01
350,Acutalibacter,Bilophila,0.030401401754337,0.02
351,Acutalibacter,Clostridium_XlVa,0.0289959330235895,0.03
352,Acutalibacter,Coprobacillus,-0.0254717209256392,0.03
353,Acutalibacter,Delftia,0.0260951386383245,0.05
354,Acutalibacter,Erysipelotrichaceae_UCG-003,0.0371002792617966,0.0
355,Acutalibacter,Fastidiosipila,0.0268155227572672,0.03
356,Acutalibacter,Flavonifractor,-0.0300222127515197,0.01
357,Acutalibacter,Fusicatenibacter,0.0264216757955543,0.03
358,Acutalibacter,Gibbsiella,0.034177301392441,0.0
359,Acutalibacter,Hungatella,0.0273352491685749,0.05
360,Acutalibacter,Lawsonella,-0.0194574157442997,0.04
361,Acutalibacter,Paramuribaculum,-0.0298019711282407,0.02
362,Acutalibacter,Peptoclostridium,0.0247715351076058,0.05
363,Acutalibacter,Peptoniphilus,-0.0294427296831469,0.02
364,Acutalibacter,Roseburia,0.0272669300561889,0.01
365,Acutalibacter,Ruminococcus_gauvreauii_group,0.0212223026008219,0.03
366,Acutalibacter,Ruthenibacterium,0.0254399782735113,0.04
367,Acutalibacter,Solobacterium,-0.0192878973728532,0.05
368,Acutalibacter,Stenotrophomonas,-0.0263082050345856,0.02
369,Acutalibacter,Tannerella,0.0335366119581466,0.01
370,Acutalibacter,UBA1819,-0.0309488197197194,0.03
371,Acutalibacter,Weissella,-0.0227700128240927,0.05
372,Adlercreutzia,Anaerostipes,-0.0246403454232396,0.01
373,Adlercreutzia,Bacteroides,0.0276596993568051,0.02
374,Adlercreutzia,Beduinibacterium,-0.023376129361737,0.04
375,Adlercreutzia,Burkholderia,0.0307868116431345,0.01
376,Adlercreutzia,Chryseobacterium,0.0328220346276805,0.01
377,Adlercreutzia,Clostridium_XlVb,-0.0314649162410921,0.02
378,Adlercreutzia,Colidextribacter,0.0281939052771377,0.01
379,Adlercreutzia,Cutibacterium,0.0296210149071407,0.01
380,Adlercreutzia,Enterocloster,-0.0261796159715121,0.01
381,Adlercreutzia,Eubacterium_brachy_group,0.0207696335793511,0.01
382,Adlercreutzia,Eubacterium_ventriosum_group,-0.0251948024465614,0.05
383,Adlercreutzia,Faecalibacillus,0.0303587622058858,0.03
384,Adlercreutzia,Herbinix,-0.0273751668594592,0.01
385,Adlercreutzia,Kosakonia,-0.0291820345393691,0.01
386,Adlercreutzia,Lachnospiraceae_UCG-006,0.029477230236827,0.03
387,Adlercreutzia,Lysinibacillus,0.0282859965497129,0.02
388,Adlercreutzia,Monoglobus,0.0279722850606136,0.02
389,Adlercreutzia,Nesterenkonia,-0.023245827152533,0.03
390,Adlercreutzia,NK4A214_group,0.0247006318999819,0.05
391,Adlercreutzia,Pyramidobacter,0.0195930952568224,0.04
392,Adlercreutzia,Schaedlerella,-0.0297821456753372,0.0
393,Adlercreutzia,Tindallia,0.0248031847527019,0.05
394,Adlercreutzia,UCG-009,0.0259033276698771,0.03
395,Adlercreutzia,Unclassified,0.0441439420220169,0.0
396,Aeromicrobium,Alloprevotella,-0.0294484600471605,0.02
397,Aeromicrobium,Anaeroplasma,0.0208959975698789,0.03
398,Aeromicrobium,Anaerotruncus,0.02611793854306,0.04
399,Aeromicrobium,Brevundimonas,0.0426992387044728,0.0
400,Aeromicrobium,Burkholderia-Caballeronia-Paraburkholderia,-0.0258832758962876,0.05
401,Aeromicrobium,Chryseobacterium,-0.0260374655694966,0.02
402,Aeromicrobium,Defluviitaleaceae_UCG-011,0.0222890961568856,0.05
403,Aeromicrobium,Desulfotomaculum,-0.0341588775297652,0.0
404,Aeromicrobium,Duganella,0.0261016379390455,0.02
405,Aeromicrobium,Fastidiosipila,0.0269341576430491,0.04
406,Aeromicrobium,Gibbsiella,0.0379417769372185,0.0
407,Aeromicrobium,Glutamicibacter,0.020848013870264,0.04
408,Aeromicrobium,Lachnospiraceae_UCG-006,-0.0216491401668374,0.05
409,Aeromicrobium,Mediterranea,-0.0192905037492765,0.04
410,Aeromicrobium,Megamonas,-0.0243271693034112,0.03
411,Aeromicrobium,Mesorhizobium,0.0298517864576971,0.01
412,Aeromicrobium,Oxobacter,-0.0232491214004116,0.03
413,Aeromicrobium,Ruminococcus,-0.0207841698291996,0.05
414,Aeromicrobium,Stenotrophomonas,-0.0231622114940028,0.05
415,Aeromicrobium,Streptomyces,0.0293270549627678,0.02
416,Aeromicrobium,Sutterella,-0.0370574349834459,0.02
417,Aeromicrobium,Tyzzerella,-0.0216960638814101,0.05
418,Agathobacter,Aminicella,-0.0321367577407917,0.03
419,Agathobacter,Anaerostipes,0.0784749181331013,0.0
420,Agathobacter,Anaerotignum,-0.0240293742472256,0.05
421,Agathobacter,Atlantibacter,-0.0276648727530664,0.01
422,Agathobacter,Bacillus,0.0249034117093934,0.05
423,Agathobacter,Bacteroides,0.0587024289725471,0.0
424,Agathobacter,Barnesiella,-0.0242992821508636,0.04
425,Agathobacter,Blautia,0.0835726661628508,0.0
426,Agathobacter,Brevundimonas,-0.0412401586024613,0.0
427,Agathobacter,Burkholderia,-0.086885055784839,0.0
428,Agathobacter,Burkholderia-Caballeronia-Paraburkholderia,-0.0238978583768712,0.05
429,Agathobacter,CAG-873,-0.0234690383923573,0.04
430,Agathobacter,Campylobacter,-0.02418932044635,0.03
431,Agathobacter,Catenisphaera,-0.0354210402633074,0.0
432,Agathobacter,Cellulosilyticum,0.0256452107306903,0.04
433,Agathobacter,Clostridium_sensu_stricto_1,0.0190119474743501,0.05
434,Agathobacter,Clostridium_XlVb,0.0269490924725896,0.02
435,Agathobacter,Coprococcus,0.0587491220546959,0.0
436,Agathobacter,Dialister,-0.0354487510466255,0.01
437,Agathobacter,Dorea,0.0567302727113875,0.0
438,Agathobacter,Duncaniella,-0.0366028389187216,0.0
439,Agathobacter,Enterococcus,0.0213137445381957,0.05
440,Agathobacter,Erysipelotrichaceae_UCG-003,0.0380685497006317,0.01
441,Agathobacter,Eubacterium_eligens_group,0.0349489294143505,0.01
442,Agathobacter,Faecalibacterium,0.1824181409485807,0.0
443,Agathobacter,Faecalimonas,0.0264602791086356,0.03
444,Agathobacter,Fenollaria,-0.0300632355724901,0.01
445,Agathobacter,Finegoldia,-0.0293794838840174,0.0
446,Agathobacter,Fusicatenibacter,0.0781590887407972,0.0
447,Agathobacter,Gibbsiella,-0.0279443210695321,0.01
448,Agathobacter,Herbinix,-0.0379483455489476,0.0
449,Agathobacter,Kineothrix,-0.0292296076215792,0.03
450,Agathobacter,Lachnospira,0.0642644078717915,0.0
451,Agathobacter,Lachnospiraceae_UCG-008,0.0364210189596912,0.01
452,Agathobacter,Lactobacillus,-0.0521016314186758,0.0
453,Agathobacter,Ligilactobacillus,-0.0374930190110041,0.01
454,Agathobacter,Millionella,-0.025533560063066,0.04
455,Agathobacter,Monoglobus,0.0286164089938784,0.0
456,Agathobacter,Murdochiella,-0.0247132648660645,0.03
457,Agathobacter,Muribaculaceae,-0.0481860572351741,0.0
458,Agathobacter,Muribaculum,-0.0288258313696798,0.0
459,Agathobacter,Oscillibacter,-0.0279041446210732,0.03
460,Agathobacter,Parabacteroides,-0.0325867585929857,0.02
461,Agathobacter,Peptoniphilus,-0.0365061931020447,0.0
