V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42
0,0,0,0,0.000163506334278184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00396743001088198,0,0.000499220719742259,0,0,0.0873189634064746,0,0,0.00228616150790859,0,0,0,0,-0.00290470145652882,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0984955638425756,0,0,0,0,0,0,0.00239649853934899,0,0,0,0,0,0,0
0,0,0,0,0.00118254120977306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233079387320363,-0.00346344050731598,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.00516048544215992,0,0.00145771544587756,0.00359845196612014,0.00154831750096967,0,0.000153332330813121,0,0,0.00178299788779395,0.00128181213169373,0,0,0,0,0,0.00087844412205572,0,0,0,0.00279844148521917,0,0.00177096122654724,0,0.00160178216397069,0.00228610762074807,0,-0.00346343667662609,0.00714491071887488,0.00123016570589782,0,0,0,0.00437187991076097,0.0029679772141686,0,0,0.00141044244701346,0.00490743445100294,0.00104703321692432,0.0073480294976784
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000376144738544552,0,0,0,0,0,0,0,0.00123016591014097,0.16550183236992,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359508501414903,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47800637301994,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486486145544992,0,0,0,0,0,0,0,0
0,0,0,0,0.00513493716421329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00290473205417471,0.00239649719250852,0,0.00437184794696732,0,0,0,0,0.0492873049758613,-0.00521452570265304,0,0,0,0,0,-0.000519955933145475
0,0,0,0,0.00371296208154195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00382195669907287,0,0.00324005974776893,0,-0.00154006876167357,0,0,0,0.00296797451231366,0,0,0,0,-0.00521454494179369,0.0340202977216188,0,0,0,0,0.0015994621880486,-0.00135100508383276
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488505789843989,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37868500342746,0,0,0,0
0,0,0,0,0.00198665639373926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141044344631833,0,0,0,0,0,0,0,0,0.21044558991535,0,0,0
0,0,0,0.00474027263898408,0.00289395753710696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00145748168038812,0,-0.0139202171763083,0,0,0,0,0,0.00490744517159273,0,0,0,0,0,0,0,0,0,0.0746870828644065,0,0
0,0,0,0.00135738139997759,0.00172523452915344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104700662543892,0,0,0,0,0,0.00159945291953371,0,0,0,0,0.0470588508205086,0
0,0,-0.00541713038075791,-0.00888056218815295,0.00718686139589684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00542730257825164,0,0.000574373311908968,0,-0.0145059272995291,0,0,0,0.0073479895172219,0,0,0,0,-0.000519984255504146,-0.00135104083122424,0,0,0,0,0,0.0755803688682783
